URL,Description,Job Levels
https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-new/,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-simulation-new/,Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,"
https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,"
https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-new/,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-simulation-new/,Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,"
https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,"
https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-new/,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-simulation-new/,Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,"
https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,"
https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-mvvm-new/,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-wcf-new/,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-wpf-new/,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/net-xaml-new/,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-new/,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-payable-simulation-new/,Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-new/,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,"
https://www.shl.com//solutions/products/product-catalog/view/global-skills-development-report/,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,"
https://www.shl.com//solutions/products/product-catalog/view/net-framework-4-5/,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,"
https://www.shl.com//solutions/products/product-catalog/view/net-mvc-new/,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,"
